nctid,facility,city,country
NCT02458040,Hôpital Hôtel Dieu,Paris,France
NCT00812240,Centre Hospitalier d'Abbeville,Abbeville,France
NCT00812240,Institut Sainte Catherine,Avignon,France
NCT00812240,Hôpital Jean Minjoz,Besançon,France
NCT00812240,Institut Bergonié,Bordeaux,France
NCT00812240,Hôpital Morvan,Brest,France
NCT00812240,Hôpitalo Henri Mondor,Créteil,France
NCT00812240,Centre Georges François Leclerc,Dijon,France
NCT00812240,Hopital Bocage,Dijon,France
NCT00812240,Centre Hospitalier Victor Jousselin,Dreux,France
NCT00812240,Clinique Pasteur,Evreux,France
NCT00812240,Centre Hospitalier de Gap,Gap,France
NCT00812240,CHD de Vendée,La Roche Sur Yon,France
NCT00812240,Centre Hsopitalier de La Rochelle,La Rochelle,France
NCT00812240,Centre Hospitalier Robert Boulin,Libourne,France
NCT00812240,Centre Oscar Lambret,Lille,France
NCT00812240,Centre Léon Bérard,Lyon,France
NCT00812240,Institut Paoli Calmette,Marseille,France
NCT00812240,Centre Val d'Aurèle,Montpellier,France
NCT00812240,Centre René Gauducheau,Nantes,France
NCT00812240,Hôpital de la Source,Orléans,France
NCT00812240,Groupe Hospitalier Diaconesse Croix Saint Simon,Paris,France
NCT00812240,Hôpital Européen Georges Pompidou,Paris,France
NCT00812240,Hôpital Bichat Claude Bernard,Paris,France
NCT00812240,Hôpital Tenon,Paris,France
NCT00812240,Hôpital Robert Debré,Reims,France
NCT00812240,Hôpital Charles Nicolle,Rouen,France
NCT00812240,Clinique Armoricaine de Radiologie,Saint Brieuc,France
NCT00812240,Centre René Huguenin,Saint-Cloud,France
NCT00812240,Institut de Cancérologie de la Loire,Saint-Priest-En-Jarez,France
NCT03806244,"Service de Chirurgie Digestive et Endocrinienne, NHC",Strasbourg,France
NCT05973344,Brest University Hospital,Brest,France
NCT02389244,Hopital Jean Monjoz,Besancon,France
NCT02389244,Institut Bergonie,Bordeaux,France
NCT02389244,Centre Francois Baclesse,Caen,France
