nctid,neoplasm_category,neoplasm
NCT00812240,Neoplasms by Site,Gastrointestinal Neoplasms
NCT00812240,Neoplasms by Histologic Type,Gastrointestinal Stromal Tumors
NCT03806244,Neoplasms by Site,Colorectal Neoplasms
NCT02389244,Neoplasms by Histologic Type,Sarcoma
NCT03963544,Neoplasms by Site,Gastrointestinal Neoplasms
NCT03963544,Neoplasms by Histologic Type,Gastrointestinal Stromal Tumors
NCT01302392,Neoplasms by Histologic Type,Multiple Myeloma
NCT05754892,Neoplasms by Site,Adrenal Gland Neoplasms
NCT05329792,Neoplasms by Site,Skin Neoplasms
NCT05329792,Neoplasms by Histologic Type,"Sarcoma, Kaposi"
NCT01342692,Precancerous Conditions,Preleukemia
NCT04578444,Neoplasms by Site,Biliary Tract Neoplasms
NCT05613244,Neoplasms by Histologic Type,Solitary Fibrous Tumors
NCT04214444,Neoplasms by Histologic Type,Lymphoma
NCT00010244,Neoplasms by Site,Prostatic Neoplasms
NCT02629692,Neoplasms by Histologic Type,Leukemia
NCT02864992,Neoplasms by Site,Lung Neoplasms
NCT02864992,Neoplasms by Histologic Type,Adenocarcinoma
NCT00413192,Neoplasms by Histologic Type,Sarcoma
NCT00986440,Neoplasms by Site,Colorectal Neoplasms
NCT00224744,Neoplasms by Site,Skin Neoplasms
NCT05119244,Neoplasms by Site,Lung Neoplasms
NCT06564844,Neoplasms by Site,Lung Neoplasms
NCT06564844,Neoplasms by Histologic Type,Adenocarcinoma
NCT03235544,Neoplasms by Histologic Type,Lymphoma
NCT03418844,Neoplasms by Site,Ovarian Neoplasms
NCT03418844,Neoplasms by Histologic Type,"Neoplasms, Germ Cell and Embryonal"
NCT02477644,Neoplasms by Site,Ovarian Neoplasms
NCT02477644,Neoplasms by Histologic Type,"Carcinoma, Ovarian Epithelial"
NCT06469944,Neoplasms by Site,Esophageal Neoplasms
NCT06469944,Neoplasms by Histologic Type,Adenocarcinoma
NCT01032044,Neoplasms by Histologic Type,Adenocarcinoma
NCT01032044,Precancerous Conditions,Barrett Esophagus
NCT00450892,Neoplasms by Site,Breast Neoplasms
NCT03899792,Neoplasms by Site,Thyroid Neoplasms
NCT03899792,Neoplasms by Histologic Type,Sarcoma
NCT04903340,Neoplasms by Site,Liver Neoplasms
NCT04903340,Neoplasms by Histologic Type,"Carcinoma, Hepatocellular"
NCT03053440,Neoplasms by Histologic Type,Waldenstrom Macroglobulinemia
NCT00103844,Neoplasms by Histologic Type,Leukemia
NCT02854644,Neoplasms by Site,Breast Neoplasms
NCT02854644,Neoplasms by Histologic Type,Glioma
NCT01193244,Neoplasms by Site,Prostatic Neoplasms
NCT03313544,Neoplasms by Site,Skin Neoplasms
NCT03313544,Neoplasms by Histologic Type,Melanoma
NCT01797692,Neoplasms by Site,Prostatic Neoplasms
NCT00866944,Neoplasms by Site,Colorectal Neoplasms
NCT00866944,Neoplastic Processes,Neoplasm Metastasis
NCT00866944,"Neoplasms, Second Primary","Neoplasms, Second Primary"
NCT04553692,Neoplasms by Histologic Type,Lymphoma
NCT03483792,Cysts,Polycystic Ovary Syndrome
NCT04899492,Neoplasms by Site,Skin Neoplasms
NCT04899492,Neoplasms by Histologic Type,Melanoma
NCT00329940,Neoplasms by Site,Breast Neoplasms
NCT03624244,Neoplasms by Site,Endometrial Neoplasms
NCT03624244,Neoplasms by Histologic Type,Sarcoma
NCT05289492,Neoplasms by Histologic Type,Multiple Myeloma
NCT02555644,Neoplasms by Site,Head and Neck Neoplasms
NCT00417144,Cysts,Polycystic Ovary Syndrome
NCT06642844,Neoplasms by Site,Colorectal Neoplasms
NCT03794544,Neoplasms by Site,Lung Neoplasms
NCT01910844,Neoplasms by Site,Breast Neoplasms
NCT01449344,Neoplasms by Histologic Type,Lymphoma
NCT01461044,Neoplasms by Site,Breast Neoplasms
NCT00911092,Neoplasms by Site,Esophageal Neoplasms
NCT03070392,Neoplasms by Site,Uveal Neoplasms
NCT03070392,Neoplasms by Histologic Type,Melanoma
NCT05215340,Neoplasms by Site,Lung Neoplasms
NCT02491840,Neoplasms by Histologic Type,Adenocarcinoma
NCT00838240,Neoplasms by Histologic Type,Leukemia
NCT00838240,Precancerous Conditions,Preleukemia
NCT02335944,Neoplasms by Site,Lung Neoplasms
NCT04876092,Neoplasms by Histologic Type,Lymphoma
NCT02515344,Neoplasms by Site,Colorectal Neoplasms
NCT00925444,Neoplasms by Site,Lung Neoplasms
NCT05883644,Neoplasms by Site,Liver Neoplasms
NCT05883644,Neoplasms by Histologic Type,Carcinoma
NCT04791644,Neoplasms by Site,"Colorectal Neoplasms, Hereditary Nonpolyposis"
NCT04791644,"Neoplastic Syndromes, Hereditary","Neoplastic Syndromes, Hereditary"
NCT03076892,Precancerous Conditions,"Keratosis, Actinic"
NCT03570892,Neoplasms by Histologic Type,Lymphoma
NCT00670592,Neoplasms by Histologic Type,Lymphoma
NCT04194944,Neoplasms by Site,Lung Neoplasms
NCT01455792,Neoplasms by Site,Prostatic Neoplasms
NCT03988192,Neoplasms by Site,Lung Neoplasms
NCT01817192,Neoplasms by Site,Lung Neoplasms
NCT04458740,Neoplasms by Site,Colorectal Neoplasms
NCT02605044,Neoplasms by Site,Colorectal Neoplasms
NCT04497844,Neoplasms by Site,Prostatic Neoplasms
NCT00664144,Neoplasms by Histologic Type,"Lymphoma, Non-Hodgkin"
NCT06577844,Neoplasms by Site,Lung Neoplasms
NCT01957644,Neoplasms by Histologic Type,Leukemia
NCT01957644,Precancerous Conditions,Preleukemia
NCT03619044,Neoplasms by Site,Breast Neoplasms
NCT03875144,Neoplasms by Site,Peritoneal Neoplasms
NCT03875144,Neoplasms by Histologic Type,Mesothelioma
NCT01660776,Neoplasms by Site,"Carcinoma, Non-Small-Cell Lung"
NCT01660776,Neoplasms by Histologic Type,Lymphoma
NCT02230176,Neoplasms by Site,Pancreatic Neoplasms
NCT02230176,Neoplasms by Histologic Type,"Carcinoma, Neuroendocrine"
NCT02994576,Neoplasms by Site,Lung Neoplasms
NCT03712176,Neoplasms by Site,Breast Neoplasms
NCT05685173,Neoplasms by Histologic Type,Lymphoma
NCT04357873,Neoplasms by Site,Anus Neoplasms
NCT04357873,Neoplasms by Histologic Type,Carcinoma
NCT02662673,Neoplasms by Site,Prostatic Neoplasms
NCT04336982,Neoplasms by Histologic Type,Leukemia
NCT02890082,Neoplasms by Site,Breast Neoplasms
NCT05068973,Neoplasms by Site,Lung Neoplasms
NCT00574873,Neoplasms by Histologic Type,Leukemia
NCT01812031,Neoplasms by Site,Lung Neoplasms
NCT00003731,Neoplasms by Site,Nervous System Neoplasms
NCT05049031,Neoplasms by Site,Breast Neoplasms
NCT00003627,Neoplasms by Site,Oropharyngeal Neoplasms
NCT02450331,Neoplasms by Histologic Type,Carcinoma
NCT01956331,Neoplasms by Site,Lung Neoplasms
NCT06263231,Neoplasms by Histologic Type,Sarcoma
NCT03382327,Neoplasms by Site,Liver Neoplasms
NCT03382327,Neoplasms by Histologic Type,"Carcinoma, Hepatocellular"
